,label,model,nFeatures,truePos,trueNeg,falsePos,falseNeg,testIndex
0,phq,NB,1,1,0,0,0,0
1,phq,LR1,1,0,0,0,1,0
2,phq,SVC1,1,0,0,0,1,0
3,phq,kNN5,1,0,0,0,1,0
4,phq,RF,1,1,0,0,0,0
5,phq,XG,1,1,0,0,0,0
6,phq,NB,2,1,0,0,0,0
7,phq,LR1,2,0,0,0,1,0
8,phq,SVC1,2,0,0,0,1,0
9,phq,kNN5,2,0,0,0,1,0
10,phq,RF,2,0,0,0,1,0
11,phq,XG,2,0,0,0,1,0
12,phq,NB,3,1,0,0,0,0
13,phq,LR1,3,1,0,0,0,0
14,phq,SVC1,3,1,0,0,0,0
15,phq,kNN5,3,0,0,0,1,0
16,phq,RF,3,1,0,0,0,0
17,phq,XG,3,1,0,0,0,0
18,phq,NB,4,1,0,0,0,0
19,phq,LR1,4,1,0,0,0,0
20,phq,SVC1,4,1,0,0,0,0
21,phq,kNN5,4,0,0,0,1,0
22,phq,RF,4,1,0,0,0,0
23,phq,XG,4,1,0,0,0,0
24,phq,NB,5,1,0,0,0,0
25,phq,LR1,5,0,0,0,1,0
26,phq,SVC1,5,0,0,0,1,0
27,phq,kNN5,5,0,0,0,1,0
28,phq,RF,5,1,0,0,0,0
29,phq,XG,5,1,0,0,0,0
30,phq,NB,6,1,0,0,0,0
31,phq,LR1,6,0,0,0,1,0
32,phq,SVC1,6,0,0,0,1,0
33,phq,kNN5,6,0,0,0,1,0
34,phq,RF,6,0,0,0,1,0
35,phq,XG,6,1,0,0,0,0
36,phq,NB,7,1,0,0,0,0
37,phq,LR1,7,0,0,0,1,0
38,phq,SVC1,7,0,0,0,1,0
39,phq,kNN5,7,0,0,0,1,0
40,phq,RF,7,0,0,0,1,0
41,phq,XG,7,0,0,0,1,0
42,phq,NB,8,1,0,0,0,0
43,phq,LR1,8,0,0,0,1,0
44,phq,SVC1,8,0,0,0,1,0
45,phq,kNN5,8,0,0,0,1,0
46,phq,RF,8,0,0,0,1,0
47,phq,XG,8,1,0,0,0,0
48,phq,NB,1,1,0,0,0,1
49,phq,LR1,1,1,0,0,0,1
50,phq,SVC1,1,0,0,0,1,1
51,phq,kNN5,1,0,0,0,1,1
52,phq,RF,1,1,0,0,0,1
53,phq,XG,1,1,0,0,0,1
54,phq,NB,2,1,0,0,0,1
55,phq,LR1,2,1,0,0,0,1
56,phq,SVC1,2,0,0,0,1,1
57,phq,kNN5,2,1,0,0,0,1
58,phq,RF,2,0,0,0,1,1
59,phq,XG,2,0,0,0,1,1
60,phq,NB,3,1,0,0,0,1
61,phq,LR1,3,1,0,0,0,1
62,phq,SVC1,3,0,0,0,1,1
63,phq,kNN5,3,0,0,0,1,1
64,phq,RF,3,0,0,0,1,1
65,phq,XG,3,1,0,0,0,1
66,phq,NB,4,0,0,0,1,1
67,phq,LR1,4,1,0,0,0,1
68,phq,SVC1,4,0,0,0,1,1
69,phq,kNN5,4,1,0,0,0,1
